"BIBTEXKEY","first_name","middle_name","last_name","full_name","JOURNAL","NUMBER","PAGES","PUBLISHER","TITLE","TYPE","VOLUME","YEAR","DOI","ISSN","URL","AUTHOR_KEYWORDS","LANGUAGE","ABBREV_SOURCE_TITLE","PUBLICATION_STAGE","SOURCE","AFFILIATIONS","Affiliation_country","Affiliation_country_code","Gender","Gender.Probability","Gender.Count","author_id","paper_id_author_id","author_order","Max","author_last","author_single","unique_name","OA","Citations"
"Cannon2016146","Alexander","M.","Cannon","Alexander M. Cannon","Ethnomusicology Forum","2","146 – 171","Routledge","Tradition, still remains: sustainability through ruin in Vietnamese music for diversion","Article","25",2016,"10.1080/17411912.2016.1175313","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84966710026&doi = 10.1080%2f17411912.2016.1175313&partnerID = 40&md5 = e027bb431d2a2f5eeec855afe7509034","Creativity; Cultural Policy; Music Preservation; Traditional Music; Vietnam","English","Ethnomusicol. Forum","Final","Scopus","School of Music, Western Michigan University, Kalamazoo, MI, United States","United States","US","male",1,122358,"author1","Cannon2016146_author1",1,1,0,1,"cannon_alexander","Undefined",2
"Brown2014454","Sara","Black","Brown","Sara Black Brown","Ethnomusicology","3","454 – 480","Society for Ethnomusicology","Krishna, christians, and colors: The socially binding influence of Kirtan Singing at a Utah Hare Krishna Festival","Article","58",2014,"10.5406/ethnomusicology.58.3.0454","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84928166925&doi = 10.5406%2fethnomusicology.58.3.0454&partnerID = 40&md5 = 12eab801e070c1a09202e7341d3e6395",NA,"English","Ethnomusicology","Final","Scopus","Florida State University, United States","United States","US","female",1,194697,"author1","Brown2014454_author1",1,1,0,1,"brown_sara","Undefined",4
"Kaminsky2015143","David",NA,"Kaminsky","David Kaminsky","Ethnomusicology Forum","2","143 – 158","Routledge","Introduction: The New Old Europe Sound","Article","24",2015,"10.1080/17411912.2015.1048267","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84942103879&doi = 10.1080%2f17411912.2015.1048267&partnerID = 40&md5 = 552859c4b7084c37583e8aa4498bbc9b","Appropriation; Balkan; Celtic; Europe; Klezmer; Romani","English","Ethnomusicol. Forum","Final","Scopus","University of California, Merced, United States","United States","US","male",1,1143153,"author1","Kaminsky2015143_author1",1,1,0,1,"kaminsky_david","Open Access",10
"Cidra2015304","Rui",NA,"Cidra","Rui Cidra","Ethnomusicology Forum","3","304 – 328","Routledge","Politics of memory, ethics of survival: The songs and narratives of the Cape Verdean diaspora in São Tomé","Article","24",2015,"10.1080/17411912.2015.1070677","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84964034029&doi = 10.1080%2f17411912.2015.1070677&partnerID = 40&md5 = 8b2295252b9fabbde3bde7533989fb3f","Cape Verde; Diaspora; Narrative; Social memory; Subjectivity; Survivability","English","Ethnomusicol. Forum","Final","Scopus","Music Department, University of California, Berkeley, United States; Instituto de Etnomusicologia (INET-MD), Lisbon, Portugal","United States","US","male",0.74,950,"author1","Cidra2015304_author1",1,1,0,1,"cidra_rui","Undefined",8
"Marković2015260","Alexander",NA,"Marković","Alexander Marković","Ethnomusicology Forum","2","260 – 285","Routledge","‘So that we look more Gypsy’: Strategic performances and ambivalent discourses of Romani brass for the world music scene","Article","24",2015,"10.1080/17411912.2015.1048266","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84942102389&doi = 10.1080%2f17411912.2015.1048266&partnerID = 40&md5 = a94635f276c473f5410d17a0dda53740","Authentic hybridity; Resistance; Romani brass musicians; Serbia; Strategic essentialism; World music markets","English","Ethnomusicol. Forum","Final","Scopus","University of Illinois-Chicago, United States","United States","US","male",1,122358,"author1","Marković2015260_author1",1,1,0,1,"marković_alexander","Undefined",10
"Steingo2015102","Gavin",NA,"Steingo","Gavin Steingo","Ethnomusicology Forum","1","102 – 123","Routledge","Sound and circulation: Immobility and obduracy in South African electronic music","Article","24",2015,"10.1080/17411912.2015.1020823","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84957052029&doi = 10.1080%2f17411912.2015.1020823&partnerID = 40&md5 = 87dd05b24061a9e3926ad0b7ffeceb50","Circulation; Electronic music; Failure; Obduracy; Soweto","English","Ethnomusicol. Forum","Final","Scopus","Department of Music, University of Pittsburgh, 110 Music Building, Pittsburgh, 15260, PA, United States","United States","US","male",1,19342,"author1","Steingo2015102_author1",1,1,0,1,"steingo_gavin","Undefined",16
"Sykes2013485","Jim",NA,"Sykes","Jim Sykes","Ethnomusicology","3","485 – 517",NA,"Culture as freedom: Musical ""liberation"" in Batticaloa, Sri Lanka","Article","57",2013,"10.5406/ethnomusicology.57.3.0485","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84887466632&doi = 10.5406%2fethnomusicology.57.3.0485&partnerID = 40&md5 = 6f7e5bc27eb0f447991c35f840833c47",NA,"English","Ethnomusicology","Final","Scopus","University of Pennsylvania, United States","United States","US","male",1,439469,"author1","Sykes2013485_author1",1,1,0,1,"sykes_jim","Undefined",3
"Alaghband-Zadeh2015349","Chloë",NA,"Alaghband-Zadeh","Chloë Alaghband-Zadeh","Ethnomusicology Forum","3","349 – 379","Routledge","Sonic performativity: Analysing gender in North Indian classical vocal music","Article","24",2015,"10.1080/17411912.2015.1082925","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84964089218&doi = 10.1080%2f17411912.2015.1082925&partnerID = 40&md5 = 7eeeb6c419ecbcb223c1bd8f12057a90","Gender; Music analysis; North Indian classical music; Performativity","English","Ethnomusicol. Forum","Final","Scopus","Emmanuel College, University of Cambridge, United Kingdom","United Kingdom","GB","female",1,553,"author1","Alaghband-Zadeh2015349_author1",1,1,0,1,"alaghband-zadeh_chloë","Open Access",5
"Harris2012450","Rachel",NA,"Harris","Rachel Harris","Ethnomusicology","3","450 – 475",NA,"Tracks: Temporal shift s and transnational networks of sentiment in uyghur song","Article","56",2012,"10.5406/ethnomusicology.56.3.0450","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84867077109&doi = 10.5406%2fethnomusicology.56.3.0450&partnerID = 40&md5 = e3e69b6fc0916edb2a9da526ee27faac",NA,"English","Ethnomusicology","Final","Scopus","School of Oriental and African Studies, University of London, United Kingdom","United Kingdom","GB","female",1,90827,"author1","Harris2012450_author1",1,1,0,1,"harris_rachel","Undefined",7
"Rogers2013311","Victoria",NA,"Rogers","Victoria Rogers","Ethnomusicology","2","311 – 329",NA,"John blacking, composer","Article","57",2013,"10.5406/ethnomusicology.57.2.0311","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84883485863&doi = 10.5406%2fethnomusicology.57.2.0311&partnerID = 40&md5 = fc1dc953a4f1dc9ff140d01a8bb53892",NA,"English","Ethnomusicology","Final","Scopus","University of Western Australia, Australia","Australia","AU","female",1,6137,"author1","Rogers2013311_author1",1,1,0,1,"rogers_victoria","Undefined",2
"Appert2016279","Catherine","M.","Appert","Catherine M. Appert","Ethnomusicology","2","279 – 299","Society for Ethnomusicology","On hybridity in African popular music: The case of senegalese hip hop","Article","60",2016,"10.5406/ethnomusicology.60.2.0279","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84964029005&doi = 10.5406%2fethnomusicology.60.2.0279&partnerID = 40&md5 = 1edddfa3a481e959158253620e573ad4",NA,"English","Ethnomusicology","Final","Scopus","Cornell University, United States, United States","United States","US","female",1,122532,"author1","Appert2016279_author1",1,1,0,1,"appert_catherine","Undefined",21
"Nannyonga-Tamusuza2012206","Sylvia",NA,"Nannyonga-Tamusuza","Sylvia Nannyonga-Tamusuza","Ethnomusicology","2","206 – 233",NA,"The audible future: Reimagining the role of sound archives and sound repatriation in uganda","Article","56",2012,"10.5406/ethnomusicology.56.2.0206","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84867115111&doi = 10.5406%2fethnomusicology.56.2.0206&partnerID = 40&md5 = adf84aa5f1d826830cecf07c84a66d07",NA,"English","Ethnomusicology","Final","Scopus","Makerere University, Uganda; University of Pittsburgh, United States","Uganda","UG","female",1,488,"author1","Nannyonga-Tamusuza2012206_author1",1,2,0,0,"nannyonga-tamusuza_sylvia","Undefined",24
"Nannyonga-Tamusuza2012206","Andrew","N.","Weintraub","Andrew N. Weintraub","Ethnomusicology","2","206 – 233",NA,"The audible future: Reimagining the role of sound archives and sound repatriation in uganda","Article","56",2012,"10.5406/ethnomusicology.56.2.0206","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84867115111&doi = 10.5406%2fethnomusicology.56.2.0206&partnerID = 40&md5 = adf84aa5f1d826830cecf07c84a66d07",NA,"English","Ethnomusicology","Final","Scopus","Makerere University, Uganda; University of Pittsburgh, United States","United States","US","male",1,401335,"author2","Nannyonga-Tamusuza2012206_author2",2,2,1,0,"weintraub_andrew","Undefined",24
"Douglas2013185","Gavin",NA,"Douglas","Gavin Douglas","Ethnomusicology","2","185 – 206",NA,"Performing ethnicity in southern Shan State, Burma/Myanmar: The ozi and gong traditions of the myelat","Article","57",2013,"10.5406/ethnomusicology.57.2.0185","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84883475352&doi = 10.5406%2fethnomusicology.57.2.0185&partnerID = 40&md5 = 419db018dd1a1d8c3a700282462cd924",NA,"English","Ethnomusicology","Final","Scopus","University of North Carolina, Greensboro, United States","United States","US","male",1,19342,"author1","Douglas2013185_author1",1,1,0,1,"douglas_gavin","Undefined",9
"Kwon201531","Donna","Lee","Kwon","Donna Lee Kwon","Ethnomusicology","1","31 – 60","Society for Ethnomusicology","""Becoming one"": Embodying Korean P'ungmul percussion band music and dance through site-specific intermodal transmission","Article","59",2015,"10.5406/ethnomusicology.59.1.0031","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84928493537&doi = 10.5406%2fethnomusicology.59.1.0031&partnerID = 40&md5 = a5a7fd664aaa488d002f0f0fd0f5f833",NA,"English","Ethnomusicology","Final","Scopus","University of Kentucky, United States","United States","US","female",1,261704,"author1","Kwon201531_author1",1,1,0,1,"kwon_donna","Undefined",5
"Guilbault2014321","Jocelyne",NA,"Guilbault","Jocelyne Guilbault","Ethnomusicology","2","321 – 326","Society for Ethnomusicology","Politics of ethnomusicological knowledge production and circulation","Article","58",2014,"10.5406/ethnomusicology.58.2.0321","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84928107160&doi = 10.5406%2fethnomusicology.58.2.0321&partnerID = 40&md5 = 261e01de6410de0ee84753b060854015",NA,"English","Ethnomusicology","Final","Scopus","University of California, Berkeley, United States","United States","US","female",1,2331,"author1","Guilbault2014321_author1",1,1,0,1,"guilbault_jocelyne","Undefined",5
"Fiol201028","Stefan",NA,"Fiol","Stefan Fiol","Ethnomusicology","1","28 – 53","Society for Ethnomusicology","Dual framing: Locating authenticities in the music videos of Himalayan possession rituals","Article","54",2010,"10.5406/ethnomusicology.54.1.0028","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-77950192203&doi = 10.5406%2fethnomusicology.54.1.0028&partnerID = 40&md5 = 792b1adc4bacab545fcd94baa90015cb",NA,"English","Ethnomusicology","Final","Scopus","Eastman School of Music, United States","United States","US","male",1,14778,"author1","Fiol201028_author1",1,1,0,1,"fiol_stefan","Undefined",19
"Meyers2015329","John","Paul","Meyers","John Paul Meyers","Ethnomusicology Forum","3","329 – 348","Routledge","The beatles in Buenos Aires, Muse in Mexico City: Tribute bands and the global consumption of rock music","Article","24",2015,"10.1080/17411912.2015.1067572","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84964000435&doi = 10.1080%2f17411912.2015.1067572&partnerID = 40&md5 = 6c862b3c02e531e65b3fd6688ba2efbd","Globalisation; Latin America; Rock music; Taste; Tribute bands","English","Ethnomusicol. Forum","Final","Scopus","University of Illinois at Urbana-Champaign, Department of African American Studies, United States","United States","US","male",1,1328805,"author1","Meyers2015329_author1",1,1,0,1,"meyers_john","Undefined",2
"SooiBeng20164","Tan","Sooi","Beng","Tan Sooi Beng","Ethnomusicology Forum","1","4 – 13","Routledge","Introduction—emergent Sino-soundscapes: musical pasts, transnationalism and multiple identities","Article","25",2016,"10.1080/17411912.2016.1151812","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84961233939&doi = 10.1080%2f17411912.2016.1151812&partnerID = 40&md5 = 0f409558cb61b52ae4f0af5df0923398","cantonese opera; Chinese diaspora; Emergent soundscapes; identity; nanguan; transnationalism","English","Ethnomusicol. Forum","Final","Scopus","The School of Arts, Universiti Sains Malaysia, Malaysia; Rutgers University, United States","Malaysia","MY","male",0.58,37099,"author1","SooiBeng20164_author1",1,2,0,0,"beng_tan","Undefined",6
"SooiBeng20164","Nancy","Yunhwa","Rao","Nancy Yunhwa Rao","Ethnomusicology Forum","1","4 – 13","Routledge","Introduction—emergent Sino-soundscapes: musical pasts, transnationalism and multiple identities","Article","25",2016,"10.1080/17411912.2016.1151812","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84961233939&doi = 10.1080%2f17411912.2016.1151812&partnerID = 40&md5 = 0f409558cb61b52ae4f0af5df0923398","cantonese opera; Chinese diaspora; Emergent soundscapes; identity; nanguan; transnationalism","English","Ethnomusicol. Forum","Final","Scopus","The School of Arts, Universiti Sains Malaysia, Malaysia; Rutgers University, United States","United States","US","female",1,322042,"author2","SooiBeng20164_author2",2,2,1,0,"rao_nancy","Undefined",6
"Berger2014315","Harris","M.","Berger","Harris M. Berger","Ethnomusicology","2","315 – 320","Society for Ethnomusicology","Call and response: Music, power, and the ethnomusicological study of politics and culture: ""New directions for ethnomusicological research into the politics of music and culture: Issues, projects, and programs""","Article","58",2014,"10.5406/ethnomusicology.58.2.0315","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84928103364&doi = 10.5406%2fethnomusicology.58.2.0315&partnerID = 40&md5 = 2c4a2801a51c872b518401176a25bc3a",NA,"English","Ethnomusicology","Final","Scopus","Texas A and M University, United States","United States","US","male",0.99,6428,"author1","Berger2014315_author1",1,1,0,1,"berger_harris","Open Access",9
"Finchum-Sung2012396","Hilary","Vanessa","Finchum-Sung","Hilary Vanessa Finchum-Sung","Ethnomusicology","3","396 – 425",NA,"Visual excess: The visuality of traditional music performance in south korea","Article","56",2012,"10.5406/ethnomusicology.56.3.0396","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84867065441&doi = 10.5406%2fethnomusicology.56.3.0396&partnerID = 40&md5 = 1ece84a9446504fa0876e2e6b14dd71a",NA,"English","Ethnomusicology","Final","Scopus","Seoul National University, South Korea","South Korea","KR","female",0.75,4,"author1","Finchum-Sung2012396_author1",1,1,0,1,"finchum-sung_hilary","Undefined",10
"Sykes2015380","Jim",NA,"Sykes","Jim Sykes","Ethnomusicology Forum","3","380 – 413","Routledge","Sound studies, religion and urban space: Tamil music and the ethical life in Singapore","Article","24",2015,"10.1080/17411912.2015.1099049","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84964005688&doi = 10.1080%2f17411912.2015.1099049&partnerID = 40&md5 = 9a07560c50da867f77e6a34bc36db964","Indian music; Singapore; Sound studies; South Asia; Southeast Asia; Urban space","English","Ethnomusicol. Forum","Final","Scopus","University of Pennsylvania, United States","United States","US","male",1,439469,"author1","Sykes2015380_author1",1,1,0,1,"sykes_jim","Undefined",19
"Savage2014133","Patrick","E.","Savage","Patrick E. Savage","Ethnomusicology","1","133 – 155","Society for Ethnomusicology","Mapping music: Cluster analysis of song-type frequencies within and between cultures","Article","58",2014,"10.5406/ethnomusicology.58.1.0133","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84928472042&doi = 10.5406%2fethnomusicology.58.1.0133&partnerID = 40&md5 = 7bad38e02e7a12d4cfb886b06b527317",NA,"English","Ethnomusicology","Final","Scopus","Department of Musicologa, Tokyo University of the Arts, Japan; Department of Psychology, Neuroscience and Behaviour, McMaster University, Canada","Japan","JP","male",1,450,"author1","Savage2014133_author1",1,2,0,0,"savage_patrick","Undefined",25
"Savage2014133","Steven",NA,"Brown","Steven Brown","Ethnomusicology","1","133 – 155","Society for Ethnomusicology","Mapping music: Cluster analysis of song-type frequencies within and between cultures","Article","58",2014,"10.5406/ethnomusicology.58.1.0133","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84928472042&doi = 10.5406%2fethnomusicology.58.1.0133&partnerID = 40&md5 = 7bad38e02e7a12d4cfb886b06b527317",NA,"English","Ethnomusicology","Final","Scopus","Department of Musicologa, Tokyo University of the Arts, Japan; Department of Psychology, Neuroscience and Behaviour, McMaster University, Canada","Canada","CA","male",1,22515,"author2","Savage2014133_author2",2,2,1,0,"brown_steven","Undefined",25
"Tatro2014431","Kelley",NA,"Tatro","Kelley Tatro","Ethnomusicology","3","431 – 453","Society for Ethnomusicology","The hard work of screaming: Physical exertion and affective labor among Mexico City's Punk Vocalists","Article","58",2014,"10.5406/ethnomusicology.58.3.0431","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84928104618&doi = 10.5406%2fethnomusicology.58.3.0431&partnerID = 40&md5 = 226f8f775a7bcfc9cb98608da98c7d73",NA,"English","Ethnomusicology","Final","Scopus","North Central College, Mexico","Mexico","MX","female",0.7,10,"author1","Tatro2014431_author1",1,1,0,1,"tatro_kelley","Undefined",29
"Phillips2013396","Miriam",NA,"Phillips","Miriam Phillips","Ethnomusicology","3","396 – 427",NA,"Becoming the floor/breaking the floor: Experiencing the kathak-flamenco connection","Article","57",2013,"10.5406/ethnomusicology.57.3.0396","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84887428182&doi = 10.5406%2fethnomusicology.57.3.0396&partnerID = 40&md5 = bfcf9dfa394fa4907da4fb48b23fb202",NA,"English","Ethnomusicology","Final","Scopus","University of Maryland, United States","United States","US","female",1,44173,"author1","Phillips2013396_author1",1,1,0,1,"phillips_miriam","Undefined",6
"Kaminsky2015181","David",NA,"Kaminsky","David Kaminsky","Ethnomusicology Forum","2","181 – 203","Routledge","‘Welcome to Räfven Village’: On musical claims to multicultural identity","Article","24",2015,"10.1080/17411912.2014.999693","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84942100825&doi = 10.1080%2f17411912.2014.999693&partnerID = 40&md5 = f8d78c9046405452bba458a915abd3e4","Appropriation; Fusion; Klezmer; Posthumanism; Sweden; Whiteness","English","Ethnomusicol. Forum","Final","Scopus","University of California, Merced, United States","United States","US","male",1,1143153,"author1","Kaminsky2015181_author1",1,1,0,1,"kaminsky_david","Open Access",5
"Dueck2011229","Jonathan",NA,"Dueck","Jonathan Dueck","Ethnomusicology","2","229 – 254",NA,"Binding and loosing in song: Conflict, identity, and Canadian mennonite music","Article","55",2011,"10.5406/ethnomusicology.55.2.0229","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-79958854442&doi = 10.5406%2fethnomusicology.55.2.0229&partnerID = 40&md5 = 1e0acc5a84804e70c51406f71382d538",NA,"English","Ethnomusicology","Final","Scopus","Duke University, United States","United States","US","male",1,269512,"author1","Dueck2011229_author1",1,1,0,1,"dueck_jonathan","Open Access",12
"Hill200986","Juniper",NA,"Hill","Juniper Hill","Ethnomusicology","1","86 – 114","Society for Ethnomusicology","Rebellious pedagogy, ideological transformation, and creative freedom in finnish contemporary folk music","Article","53",2009,"10.2307/25653048","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-64949198393&doi = 10.2307%2f25653048&partnerID = 40&md5 = 80b4b9f099255671c058238cd3276569",NA,"English","Ethnomusicology","Final","Scopus","University College Cork",NA,NA,"female",0.75,1,"author1","Hill200986_author1",1,1,0,1,"hill_juniper","Undefined",12
"Wong2014347","Deborah",NA,"Wong","Deborah Wong","Ethnomusicology","2","347 – 353","Society for Ethnomusicology","Sound, silence, music: Power","Article","58",2014,"10.5406/ethnomusicology.58.2.0347","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84928106486&doi = 10.5406%2fethnomusicology.58.2.0347&partnerID = 40&md5 = 29953133fd56a224f0ee4f647601bb92",NA,"English","Ethnomusicology","Final","Scopus","University of California, Riverside, United States","United States","US","female",1,169123,"author1","Wong2014347_author1",1,1,0,1,"wong_deborah","Open Access",27
"Titus2013286","Barbara",NA,"Titus","Barbara Titus","Ethnomusicology","2","286 – 310",NA,"""Walking like a crab"": Analyzing maskanda music in post-apartheid South Africa","Article","57",2013,"10.5406/ethnomusicology.57.2.0286","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84883469737&doi = 10.5406%2fethnomusicology.57.2.0286&partnerID = 40&md5 = 4248a6974f85847e38d23bb2fabe4906",NA,"English","Ethnomusicology","Final","Scopus","Utrecht University, Netherlands","Netherlands","NL","female",1,9558,"author1","Titus2013286_author1",1,1,0,1,"titus_barbara","Open Access",7
"Risk2013428","Laura",NA,"Risk","Laura Risk","Ethnomusicology","3","428 – 454","Society for Ethnomusicology","The chop: The diffusion of an instrumental technique across north atlantic fiddling traditions","Article","57",2013,"10.5406/ethnomusicology.57.3.0428","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84887441092&doi = 10.5406%2fethnomusicology.57.3.0428&partnerID = 40&md5 = 09077066790d8905a127462870695a8d",NA,"English","Ethnomusicology","Final","Scopus","McGill University, Canada","Canada","CA","female",1,31059,"author1","Risk2013428_author1",1,1,0,1,"risk_laura","Undefined",6
"Tenzer20151","Michael",NA,"Tenzer","Michael Tenzer","Ethnomusicology","1","1 – 30","Society for Ethnomusicology","Meditations on objective aesthetics in world music","Article","59",2015,"10.5406/ethnomusicology.59.1.0001","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84928479489&doi = 10.5406%2fethnomusicology.59.1.0001&partnerID = 40&md5 = 9f26e09c072104294b157fb0ffc0537d",NA,"English","Ethnomusicology","Final","Scopus","University of British Columbia, Canada","Canada","CA","male",1,86390,"author1","Tenzer20151_author1",1,1,0,1,"tenzer_michael","Undefined",3
"Mkallyah2016300","Kassomo",NA,"Mkallyah","Kassomo Mkallyah","Ethnomusicology","2","300 – 328","Society for Ethnomusicology","Affects and effects of indigenous Tanzanian traditional music in Christian worship in Dar es Salaam, Tanzania","Article","60",2016,"10.5406/ethnomusicology.60.2.0300","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85018443666&doi = 10.5406%2fethnomusicology.60.2.0300&partnerID = 40&md5 = 7baea7bb8bdc351840b63d038f86f37d",NA,"English","Ethnomusicology","Final","Scopus","Department of Fine and Performing Arts, University of Dar es Salaam, Tanzania","Tanzania","TZ","male",0.75,1,"author1","Mkallyah2016300_author1",1,1,0,1,"mkallyah_kassomo","Undefined",4
"Krakauer2015355","Benjamin",NA,"Krakauer","Benjamin Krakauer","Ethnomusicology","3","355 – 379","Society for Ethnomusicology","The ennobling of a ""folk tradition"" and the disempowerment of the performers: Celebrations and appropriations of Bāul-Fakir identity in west Bengal","Article","59",2015,"10.5406/ethnomusicology.59.3.0355","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84979256326&doi = 10.5406%2fethnomusicology.59.3.0355&partnerID = 40&md5 = b6718e83bf5e64565e4e9b170b9a06ad",NA,"English","Ethnomusicology","Final","Scopus","Temple University, United States","United States","US","male",1,126160,"author1","Krakauer2015355_author1",1,1,0,1,"krakauer_benjamin","Undefined",6
"Hofman201528","Ana",NA,"Hofman","Ana Hofman","Ethnomusicology Forum","1","28 – 50","Routledge","Music (as) labour: Professional musicianship, affective labour and gender in socialist Yugoslavia","Article","24",2015,"10.1080/17411912.2015.1009479","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84957095298&doi = 10.1080%2f17411912.2015.1009479&partnerID = 40&md5 = 0701ac169d22eab9c803aaba34ece7c7","Affective labour; Female singers; Kafana musicians; Music labour; Professional entertainers","English","Ethnomusicol. Forum","Final","Scopus","Centre for Interdisciplinary Research, ZRC SAZU, Novi trg 2, Ljubljana, 1000, Slovenia","Slovenia","SI","female",0.99,3731,"author1","Hofman201528_author1",1,1,0,1,"hofman_ana","Undefined",40
"Lee2012179","Katherine","In-Young","Lee","Katherine In-Young Lee","Ethnomusicology","2","179 – 205",NA,"The drumming of dissent during south korea's democratization movement","Article","56",2012,"10.5406/ethnomusicology.56.2.0179","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84867038115&doi = 10.5406%2fethnomusicology.56.2.0179&partnerID = 40&md5 = 3d0f1a1ca821e14bc253fd8eac2f657b",NA,"English","Ethnomusicology","Final","Scopus","Harvard University, United States","United States","US","female",1,129200,"author1","Lee2012179_author1",1,1,0,1,"lee_katherine","Undefined",10
"Kyker2013261","Jennifer","W.","Kyker","Jennifer W. Kyker","Ethnomusicology","2","261 – 285",NA,"Listening in the wilderness: The audience reception of Oliver Mtukudzi's music in the Zimbabwean diaspora","Article","57",2013,"10.5406/ethnomusicology.57.2.0261","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84883472461&doi = 10.5406%2fethnomusicology.57.2.0261&partnerID = 40&md5 = 4eee522aea8b1005411767d3a5c61ac4",NA,"English","Ethnomusicology","Final","Scopus","Eastman School of Music, University of Rochester, United States","United States","US","female",1,650408,"author1","Kyker2013261_author1",1,1,0,1,"kyker_jennifer","Undefined",15
"Malcomson2014222","Hettie",NA,"Malcomson","Hettie Malcomson","Ethnomusicology","2","222 – 253","Society for Ethnomusicology","Aficionados, academics, and danzón expertise: Exploring hierarchies in popular music knowledge production","Article","58",2014,"10.5406/ethnomusicology.58.2.0222","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84928158490&doi = 10.5406%2fethnomusicology.58.2.0222&partnerID = 40&md5 = 2c2229d50db2285889c5407e78b4b854",NA,"English","Ethnomusicology","Final","Scopus","University of Southampton, United Kingdom","United Kingdom","GB","female",1,232,"author1","Malcomson2014222_author1",1,1,0,1,"malcomson_hettie","Open Access",6
"Jarjour201551","Tala",NA,"Jarjour","Tala Jarjour","Ethnomusicology Forum","1","51 – 72","Routledge","Ḥasho: Music modality and the economy of emotional aesthetics","Article","24",2015,"10.1080/17411912.2015.1018918","17411912","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84951099074&doi = 10.1080%2f17411912.2015.1018918&partnerID = 40&md5 = cb3c08ea1ffddbeacb49fd574f1dd8da","Aesthetics; Aleppo; Emotion; Maqām; Middle East; Mode; Sacred music; Syria; Syriac chant; Urfa","English","Ethnomusicol. Forum","Final","Scopus","Departments of Music and Anthropology, University of Notre Dame, United States","United States","US","female",0.97,927,"author1","Jarjour201551_author1",1,1,0,1,"jarjour_tala","Undefined",2
"Keeling2012234","Richard",NA,"Keeling","Richard Keeling","Ethnomusicology","2","234 – 265",NA,"Animal impersonation songs as an ancient musical system in north america, northeast asia, and arctic europe","Article","56",2012,"10.5406/ethnomusicology.56.2.0234","00141836","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-84867049020&doi = 10.5406%2fethnomusicology.56.2.0234&partnerID = 40&md5 = 0274baf5d9a2ba0374705ef234529c61",NA,"English","Ethnomusicology","Final","Scopus",NA,NA,NA,"male",0.98,534,"author1","Keeling2012234_author1",1,1,0,1,"keeling_richard","Undefined",7
